Article Number,URL of article,Fake or Satire?,URL of rebutting article,Fake or Satire?.1,content_1,content_2
375.0,http://www.redflagnews.com/headlines-2016/cdc-proposes-rule-to-apprehend-and-detain-anyone-anywhere-at-any-time-for-any-duration-without-due-process-or-right-of-appeal-and-administer-forced-vaccinations,Fake,http://www.snopes.com/cdc-forced-vaccinations/,Fake,"['\n      Please switch to a supported browser to continue using twitter.com. You can see a list of supported browsers in our Help Center.\n    ', 'Help Center\n', '\nTerms of Service\nPrivacy Policy\nCookie Policy\nImprint\nAds info\n      © 2021 Twitter, Inc.\n    ']",[]
376.0,http://www.redflagnews.com/headlines-2016/-outrage-what-obama-just-did-to-the-white-house-logo-will-make-you-sick,Fake,http://www.snopes.com/white-house-logo-change/,Fake,"['\n      Please switch to a supported browser to continue using twitter.com. You can see a list of supported browsers in our Help Center.\n    ', 'Help Center\n', '\nTerms of Service\nPrivacy Policy\nCookie Policy\nImprint\nAds info\n      © 2021 Twitter, Inc.\n    ']",[]
377.0,http://www.redflagnews.com/headlines-2016/white-house-cancels-all-obama-appearances-at-hillary-campaign-events-,Fake,http://www.snopes.com/obama-veterans-money-to-syria/,Fake,"['\n      Please switch to a supported browser to continue using twitter.com. You can see a list of supported browsers in our Help Center.\n    ', 'Help Center\n', '\nTerms of Service\nPrivacy Policy\nCookie Policy\nImprint\nAds info\n      © 2021 Twitter, Inc.\n    ']",[]
378.0,http://www.redflagnews.com/headlines-2016/obama-cuts-26-billion-from-veterans-while-allocating-45-billion-to-syrian-migrants-moving-to-america,Fake,http://www.snopes.com/obama-veterans-money-to-syria/,Fake,"['\n      Please switch to a supported browser to continue using twitter.com. You can see a list of supported browsers in our Help Center.\n    ', 'Help Center\n', '\nTerms of Service\nPrivacy Policy\nCookie Policy\nImprint\nAds info\n      © 2021 Twitter, Inc.\n    ']",[]
379.0,http://www.redflagnews.com/headlines-2016/california-introduces-law-to-jail-anyone-who-questions-man-made-climate-change-first-amendment-now-dead,Fake,http://www.snopes.com/california-to-jail-climate-change-skeptics/,Fake,"['\n      Please switch to a supported browser to continue using twitter.com. You can see a list of supported browsers in our Help Center.\n    ', 'Help Center\n', '\nTerms of Service\nPrivacy Policy\nCookie Policy\nImprint\nAds info\n      © 2021 Twitter, Inc.\n    ']",[]
8.0,http://president45donaldtrump.com/breaking-study-proves-trump-right-every-citizen-voter-betrayed/,Fake,http://www.snopes.com/illegal-immigrants-2008-election/,Fake,[],[]
9.0,http://president45donaldtrump.com/0-23-0/,Fake,http://www.snopes.com/trump-undocumented-immigrants-welfare/,Fake,[],[]
10.0,http://president45donaldtrump.com/1-9892-2/,Fake,http://www.snopes.com/james-comey-seth-rich/,Fake,[],[]
13.0,http://usinfonews.com/index.php/2017/09/10/newly-leaked-report-shows-hillary-not-win-new-hampshireand-dems-panicking/,Fake,http://www.snopes.com/leaked-videos-clinton-voter-fraud/,Fake,[],[]
14.0,http://usinfonews.com/index.php/2017/09/06/katie-couric-speaks-canceling-clinton-interview-called-n-word/,Fake,http://www.snopes.com/hillary-trash-talk-obama/,Fake,[],[]
